source,listing_id,bank_name,property_name,location,application_deadline,auction_date,reserve_price,details_url,date_found
ForeclosureIndia,2286732,Canara Bank,Commercial Property in Curchorem,Curchorem,01-07-2026,02-07-2026,1350000,https://foreclosureindia.com/auction/goa/2286732,2026-06-08
ForeclosureIndia,2285591,Canara Bank,Shops in Mhada,Mhada,28-06-2026,29-06-2026,810000,https://foreclosureindia.com/auction/goa/2285591,2026-06-08
ForeclosureIndia,2285716,Indian Overseas Bank,Flat,,26-06-2026,26-06-2026,3220200,https://foreclosureindia.com/auction/goa/2285716,2026-06-08
ForeclosureIndia,2285715,Indian Overseas Bank,Flat,,26-06-2026,26-06-2026,3220200,https://foreclosureindia.com/auction/goa/2285715,2026-06-08
ForeclosureIndia,2285712,Indian Overseas Bank,Flat,,26-06-2026,26-06-2026,3220200,https://foreclosureindia.com/auction/goa/2285712,2026-06-08
ForeclosureIndia,2285703,Indian Overseas Bank,Flat,,26-06-2026,26-06-2026,3220200,https://foreclosureindia.com/auction/goa/2285703,2026-06-08
ForeclosureIndia,2285668,Bank of Maharashtra,Flat,,29-06-2026,29-06-2026,4400000,https://foreclosureindia.com/auction/goa/2285668,2026-06-08
ForeclosureIndia,2285586,Canara Bank,Flat,,28-06-2026,29-06-2026,1710000,https://foreclosureindia.com/auction/goa/2285586,2026-06-08
ForeclosureIndia,2278499,Bajaj Finance Ltd.,Commercial Property in Varcondem Poiquim,Varcondem Poiquim,29-06-2026,30-06-2026,4320000,https://foreclosureindia.com/auction/goa/2278499,2026-06-08
ForeclosureIndia,2278498,Bajaj Finance Ltd.,Commercial Property in Varcondem Poiquim,Varcondem Poiquim,29-06-2026,30-06-2026,2835000,https://foreclosureindia.com/auction/goa/2278498,2026-06-08
ForeclosureIndia,2278548,Bajaj Finance Ltd.,Flat in Bicholim,Bicholim,29-06-2026,30-06-2026,3000000,https://foreclosureindia.com/auction/goa/2278548,2026-06-08
ForeclosureIndia,2278527,Bajaj Finance Ltd.,Commercial Property in Patto,Patto,29-06-2026,30-06-2026,15700000,https://foreclosureindia.com/auction/goa/2278527,2026-06-08
ForeclosureIndia,2284714,Canara Bank,Others in Laxmeshwar,Laxmeshwar,19-06-2026,20-06-2026,4900000,https://foreclosureindia.com/auction/goa/2284714,2026-06-08
ForeclosureIndia,2284637,Punjab National Bank,Office in SWATANTRA PATH,SWATANTRA PATH,23-06-2026,23-06-2026,4100000,https://foreclosureindia.com/auction/goa/2284637,2026-06-08
ForeclosureIndia,2284694,Canara Bank,Shops,,19-06-2026,20-06-2026,3000000,https://foreclosureindia.com/auction/goa/2284694,2026-06-08
ForeclosureIndia,2284693,Canara Bank,Flat,,19-06-2026,20-06-2026,2150000,https://foreclosureindia.com/auction/goa/2284693,2026-06-08
ForeclosureIndia,2284373,Bank of India,Flat,,24-06-2026,25-06-2026,1910000,https://foreclosureindia.com/auction/goa/2284373,2026-06-08
ForeclosureIndia,2282966,Punjab National Bank,Flat in Rumdawado,Rumdawado,16-06-2026,16-06-2026,3550000,https://foreclosureindia.com/auction/goa/2282966,2026-06-08
ForeclosureIndia,2282401,Canara Bank,Plot in Murdeshwar,Murdeshwar,23-06-2026,24-06-2026,2940000,https://foreclosureindia.com/auction/goa/2282401,2026-06-08
ForeclosureIndia,2280584,NKGSB CO-OP. BANK LTD.,Commercial Property in vasco da gama,vasco da gama,23-06-2026,24-06-2026,4455000,https://foreclosureindia.com/auction/goa/2280584,2026-06-08
ForeclosureIndia,2280425,HDFC Bank,Flat in Margao,Margao,22-06-2026,25-06-2026,7800000,https://foreclosureindia.com/auction/goa/2280425,2026-06-08
